accession	tax_id	scientific_name	description	last_updated	base_count	first_public
U26839	40368	Drosophila borealis	Drosophila borealis alcohol dehydrogenase (Adh) gene, complete cds.	2005-04-17	961	1995-06-30
AF059889	7252	Drosophila melanica	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	290	1998-04-28
AY006409	46893	Drosophila adunca	Drosophila adunca alcohol dehydrogenase (Adh) gene, partial cds.	2005-09-26	508	2001-09-04
AY006413	46820	Drosophila nigribasis	Drosophila nigribasis alcohol dehydrogenase (Adh) gene, partial cds.	2005-09-26	510	2001-09-04
AY750116	119604	Drosophila lacertosa	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	911	2005-12-31
AY750127	311477	Drosophila paramelanica	Drosophila paramelanica alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	911	2005-12-31
AY750130	311476	Drosophila neokadai	Drosophila neokadai alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	911	2005-12-31
AY750136	311481	Drosophila okadai	Drosophila okadai alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	911	2005-12-31
DQ471655	40366	Drosophila americana	Drosophila americana alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
U94203	58309	Drosophila petalopeza	Drosophila petalopeza alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-18	204	1998-02-23
AY006417	48320	Drosophila neoperkinsi	Drosophila neoperkinsi alcohol dehydrogenase (Adh) gene, partial cds.	2005-09-26	510	2001-09-04
AY750139	55950	Drosophila sordidula	Drosophila sordidula alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	911	2005-12-31
DQ471659	54075	Drosophila eohydei	Drosophila eohydei alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
DQ471661	50033	Drosophila kanekoi	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
GQ376034	65964	Drosophila pseudoananassae	Drosophila pseudoananassae alcohol dehydrogenase (ADH) gene, partial cds.	2009-08-03	410	2009-08-02
GQ376035	42026	Drosophila bipectinata	Drosophila bipectinata alcohol dehydrogenase (ADH) gene, partial cds.	2009-08-03	410	2009-08-02
U90956	7284	Drosophila tristis	Drosophila tristis alcohol dehydrogenase (Adh) gene, partial cds.	2006-11-14	428	1997-11-14
X68165	7237	Drosophila pseudoobscura	Drosophila pseudoobscura Adh gene for alcohol dehydrogenase (PS314)	2006-11-14	3460	1992-10-08
Z00032	7233	Drosophila orena	Drosophila orena alcohol dehydrogenase gene and flanking regions	2006-11-14	2617	1986-07-02
AB261136	88884	Drosophila pallidifrons	Drosophila pallidifrons Adh gene for alcohol dehydrogenase, partial cds.	2007-11-03	861	2007-11-03
AB932648	188282	Drosophila bizonata	Drosophila bizonata Adh gene for alcohol dehydrogenase, partial cds.	2015-01-14	844	2015-01-14
AB932646	309934	Drosophila angularis	Drosophila angularis Adh gene for alcohol dehydrogenase, partial cds.	2014-10-26	840	2014-10-26
AB932662	1503162	Drosophila multispina	Drosophila multispina Adh gene for alcohol dehydrogenase, partial cds.	2014-10-26	852	2014-10-26
AF260692	40370	Drosophila montana	Drosophila montana alcohol dehydrogenase-related protein gene, partial cds.	2005-04-15	456	2000-09-20
KM016471	7240	Drosophila simulans	Drosophila simulans isolate KY32 alcohol dehydrogenase-related gene, intron.	2014-09-24	479	2014-09-24
U26842	40370	Drosophila montana	Drosophila montana alcohol dehydrogenase (Adh-1) gene, complete cds.	2005-04-17	957	1995-06-22
X60793	7227	Drosophila melanogaster	D.melanogaster (strain NC16) Adh gene for alcohol dehydrogenase	2006-11-14	2763	1991-10-07
AB033644	106246	Drosophila brachynephros	Drosophila brachynephros Adh mRNA for alcohol dehydrogenase, partial cds.	2006-07-17	711	1999-11-16
AB261135	157059	Drosophila siamana	Drosophila siamana Adh gene for alcohol dehydrogenase, partial cds.	2007-11-03	855	2007-11-03
AB932664	198721	Drosophila nigromaculata	Drosophila nigromaculata Adh gene for alcohol dehydrogenase, partial cds.	2015-01-14	849	2015-01-14
AB932678	193351	Drosophila transversa	Drosophila transversa Adh gene for alcohol dehydrogenase, partial cds.	2014-10-26	839	2014-10-26
AB932679	141217	Drosophila tripunctata	Drosophila tripunctata Adh gene for alcohol dehydrogenase, partial cds.	2014-10-26	836	2014-10-26
AB932680	193352	Drosophila unispina	Drosophila unispina Adh gene for alcohol dehydrogenase, partial cds.	2015-01-14	848	2015-01-14
AF260699	7264	Drosophila buzzatii	Drosophila buzzatii alcohol dehydrogenase-related protein gene, complete cds.	2005-04-15	2795	2000-09-20
AH000980	7227	Drosophila melanogaster	Drosophila melanogaster alcohol dehydrogenase (ADH-71k) gene, complete cds.	2016-06-13	2474	2016-06-13
U95266	7260	Drosophila willistoni	Drosophila willistoni PA2 alcohol dehydrogenase (Adh) gene, complete cds.	2005-04-18	1159	1999-01-06
X57374	7245	Drosophila yakuba	Drosophila yakuba (individual j) Adh gene for alcohol dehydrogenase	2006-11-14	975	1991-07-17
X57376	7245	Drosophila yakuba	Drosophila yakuba (individual l) Adh gene for alcohol dehydrogenase	2006-11-14	975	1991-07-17
U95260	7260	Drosophila willistoni	Drosophila willistoni Lima alcohol dehydrogenase (Adh) gene, complete cds.	2005-04-18	1172	1999-01-06
X57372	7245	Drosophila yakuba	Drosophila yakuba (individual h) Adh gene for alcohol dehydrogenase	2006-11-14	975	1991-07-17
AB154553	30033	Drosophila kikkawai	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh12.	2005-04-14	675	2004-04-01
AF201429	7240	Drosophila simulans	Drosophila simulans isolate TT01 alcohol dehydrogenase (Adhr) gene, intron 1.	2006-11-14	480	2000-07-03
AY156525	7232	Drosophila navojoa	Drosophila navojoa alcohol dehydrogenase 2 (adh-2) gene, complete cds.	2005-04-16	878	2003-03-03
KX976486	7245	Drosophila yakuba	Drosophila yakuba isolate Yakuba_SJ7 alcohol dehydrogenase (Adh) mRNA, complete cds.	2016-11-12	771	2016-11-12
KX976513	7245	Drosophila yakuba	Drosophila yakuba isolate Yakuba_2_11 alcohol dehydrogenase (Adh) mRNA, complete cds.	2016-11-12	771	2016-11-12
M60980	7237	Drosophila pseudoobscura	Drosophila pseudoobscura (strain AH54) alcohol dehydrogenase (adh) gene, complete cds.	2006-11-14	3476	1992-01-26
EU532128	46793	Drosophila paulistorum	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	2010-01-21	562	2010-01-21
HQ110512	30039	Drosophila neocordata	Drosophila neocordata isolate D_neoc_c1 alcohol dehydrogenase (Adh) gene, partial cds.	2011-06-02	830	2011-05-06
HQ110514	30039	Drosophila neocordata	Drosophila neocordata isolate D_neoc_c3 alcohol dehydrogenase (Adh) gene, partial cds.	2011-06-02	819	2011-05-06
HQ110515	30042	Drosophila prosaltans	Drosophila prosaltans isolate D_pros_c1 alcohol dehydrogenase (Adh) gene, partial cds.	2011-06-02	859	2011-05-06
KX976489	7245	Drosophila yakuba	Drosophila yakuba isolate Yakuba_SJ14 alcohol dehydrogenase (Adh) mRNA, complete cds.	2016-11-12	771	2016-11-12
KX976512	7245	Drosophila yakuba	Drosophila yakuba isolate Yakuba_3_16 alcohol dehydrogenase (Adh) mRNA, complete cds.	2016-11-12	771	2016-11-12
KX976518	7245	Drosophila yakuba	Drosophila yakuba isolate Yakuba_1_7 alcohol dehydrogenase (Adh) mRNA, complete cds.	2016-11-12	771	2016-11-12
M60988	7237	Drosophila pseudoobscura	Drosophila pseudoobscura (strain AH165) alcohol dehydrogenase (adh) gene, complete cds.	2006-11-14	3467	1992-04-30
AB154543	30033	Drosophila kikkawai	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh02.	2005-04-14	675	2004-04-01
AB154544	30033	Drosophila kikkawai	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh03.	2005-04-14	683	2004-04-01
AB154551	30033	Drosophila kikkawai	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh10.	2005-04-14	683	2004-04-01
AF201449	7240	Drosophila simulans	Drosophila simulans isolate MDW86 alcohol dehydrogenase (Adhr) gene, intron 1.	2006-11-14	481	2000-07-03
AF284481	7238	Drosophila sechellia	Drosophila sechellia strain SS77 alcohol dehydrogenase (Adh) gene, partial cds.	2006-11-14	700	2000-11-02
AY095943	126591	Drosophila curvispina	Drosophila curvispina isolate cur3 alcohol dehydrogenase (Adh) gene, partial cds.	2008-12-16	443	2003-05-01
AY335198	7273	Drosophila saltans	Drosophila saltans clone Dsalt2L alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-16	854	2003-12-31
DQ471613	381448	Drosophila angor	Drosophila angor strain B123 alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
DQ471644	381452	Drosophila barutani	Drosophila barutani strain 178 alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
DQ471653	50033	Drosophila kanekoi	Drosophila kanekoi strain 248 alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
DQ471654	65966	Drosophila tsigana	Drosophila tsigana strain JP275 alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
EU532129	46793	Drosophila paulistorum	Drosophila paulistorum from Brazil alcohol dehydrogenase (Adh) gene, partial cds.	2010-01-21	558	2010-01-21
JX455213	7240	Drosophila simulans	Drosophila simulans isolate HW04 alcohol dehydrogenase (Adhr) gene, intron 1.	2014-01-02	481	2012-09-03
KX976497	7245	Drosophila yakuba	Drosophila yakuba isolate Yakuba_Cascade_SN6 alcohol dehydrogenase (Adh) mRNA, complete cds.	2016-11-12	771	2016-11-12
M60981	7237	Drosophila pseudoobscura	Drosophila pseudoobscura (strain AH69) alcohol dehydrogenase (adh) gene, complete cds.	2006-11-14	3475	1992-01-26
M60985	7237	Drosophila pseudoobscura	Drosophila pseudoobscura (strain AH135) alcohol dehydrogenase (adh) gene, complete cds.	2006-11-14	3465	1992-04-30
U95258	7260	Drosophila willistoni	Drosophila willistoni Cano Mora alcohol dehydrogenase (Adh) gene, complete cds.	2005-04-18	1172	1999-01-06
DQ471628	381448	Drosophila angor	Drosophila angor strain Taiwan alcohol dehydrogenase (Adh) gene, partial cds.	2006-07-20	711	2006-07-20
JX455216	7240	Drosophila simulans	Drosophila simulans isolate HW47 alcohol dehydrogenase (Adhr) gene, intron 1.	2014-01-02	480	2012-09-03
KX976521	7245	Drosophila yakuba	Drosophila yakuba isolate Yakuba_2_8 alcohol dehydrogenase (Adh) mRNA, complete cds.	2016-11-12	771	2016-11-12
AY095938	193351	Drosophila transversa	Drosophila transversa isolate tra2 alcohol dehydrogenase (Adh) gene, partial cds.	2008-12-16	437	2003-05-01
KX976492	7245	Drosophila yakuba	Drosophila yakuba isolate Yakuba_SN7 alcohol dehydrogenase (Adh) mRNA, complete cds.	2016-11-12	771	2016-11-12
KX976500	7245	Drosophila yakuba	Drosophila yakuba isolate Yakuba_Anton_1_Principe alcohol dehydrogenase (Adh) mRNA, complete cds.	2016-11-12	771	2016-11-12
AB669850	137355	Drosophila burlai	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L76.	2014-01-02	833	2014-01-02
AB669859	103765	Drosophila bocki	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: A126.	2014-01-02	831	2014-01-02
AF136695	95109	Drosophila americana americana	Drosophila americana americana G96.14Y alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
L78922	7270	Drosophila mimica	Drosophila mimica (strain 15292-2561.2) alcohol dehydrogenase gene, partial cds.	2005-04-17	822	1996-06-25
U64542	7237	Drosophila pseudoobscura	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS308 allele, complete cds.	2005-04-18	3481	1996-08-16
U64550	7237	Drosophila pseudoobscura	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS333 allele, complete cds.	2005-04-18	3484	1996-08-16
U95271	46793	Drosophila paulistorum	Drosophila paulistorum Andean-Brazilian, ABM alcohol dehydrogenase (Adh) gene, complete cds.	2005-04-18	1167	1999-01-06
X54120	7245	Drosophila yakuba	D.yakuba Adh gene for alcohol dehydrogenase and Adh-related gene	2006-11-14	2284	1992-04-14
AF136661	95109	Drosophila americana americana	Drosophila americana americana G96.48X alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AF136667	95109	Drosophila americana americana	Drosophila americana americana G96.33X alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AF136668	95109	Drosophila americana americana	Drosophila americana americana G96.21X alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AF136699	40372	Drosophila americana texana	Drosophila americana texana LP97.01 alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AF459753	125945	Drosophila biarmipes	Drosophila biarmipes alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	2006-11-14	290	2002-05-16
AF459763	94109	Drosophila watanabei	Drosophila watanabei alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	2006-11-14	290	2002-05-16
AF459771	30033	Drosophila kikkawai	Drosophila kikkawai alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	2006-11-14	290	2002-05-16
KY002642	7227	Drosophila melanogaster	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_KL6 alcohol dehydrogenase-like gene, complete sequence.	2017-10-13	819	2017-10-13
LC057205	1660393	Drosophila sp. XT-32	Drosophila sp. XT-32 Adh gene for alcohol dehydrogenase, partial cds.	2019-06-04	836	2019-06-04
U64529	7237	Drosophila pseudoobscura	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS251 allele, complete cds.	2005-04-18	3491	1996-08-16
U64533	7237	Drosophila pseudoobscura	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS267 allele, complete cds.	2005-04-18	3465	1996-08-16
U64537	7237	Drosophila pseudoobscura	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS277 allele, complete cds.	2005-04-18	3465	1996-08-16
AB669824	154832	Drosophila asahinai	Drosophila asahinai Adh gene for alcohol dehydrogenase, partial cds, strain: TKNM1.	2014-01-02	839	2014-01-02
AB669834	67533	Drosophila rufa	Drosophila rufa Adh gene for alcohol dehydrogenase, partial cds, strain: EH091.	2014-01-02	838	2014-01-02
AB669858	137354	Drosophila barbarae	Drosophila barbarae Adh gene for alcohol dehydrogenase, partial cds, strain: MMY317.	2014-01-02	833	2014-01-02
AB669864	30033	Drosophila kikkawai	Drosophila kikkawai Adh gene for alcohol dehydrogenase, partial cds, strain: NAHA1.	2014-01-02	832	2014-01-02
AF136682	95109	Drosophila americana americana	Drosophila americana americana G96.47Y alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AF136688	95109	Drosophila americana americana	Drosophila americana americana G96.33Y alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AF136694	95109	Drosophila americana americana	Drosophila americana americana G96.11Y alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AF459772	74550	Drosophila lini	Drosophila lini alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	2006-11-14	290	2002-05-16
AF459775	67534	Drosophila triauraria	Drosophila triauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	2006-11-14	290	2002-05-16
EF560573	306027	Drosophila brncici	Drosophila brncici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	2008-07-12	622	2008-05-01
L78928	7270	Drosophila mimica	Drosophila mimica (strain 15292-2561.9) alcohol dehydrogenase gene, partial cds.	2005-04-17	822	1996-06-25
U64546	7237	Drosophila pseudoobscura	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS322 allele, complete cds.	2005-04-18	3504	1996-08-16
U64557	7237	Drosophila pseudoobscura	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS352 allele, complete cds.	2005-04-18	3457	1996-08-16
AB669882	112146	Drosophila bicornuta	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG1.	2014-01-02	838	2014-01-02
AF136659	95109	Drosophila americana americana	Drosophila americana americana G96.14X alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AY804554	129105	Drosophila santomea	Drosophila santomea strain STO.4 alcohol dehydrogenase (Adh) gene, partial cds.	2005-10-06	759	2005-10-06
U76477	7224	Drosophila hydei	Drosophila hydei strain 9 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	2005-04-18	897	1996-11-19
U64539	7237	Drosophila pseudoobscura	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS295 allele, complete cds.	2005-04-18	3489	1996-08-16
U76473	7224	Drosophila hydei	Drosophila hydei strain 5 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	2005-04-18	897	1996-11-19
AB703325	7259	Drosophila tolteca	Drosophila tolteca Adh gene for alcohol dehydrogenase, partial cds, clone: D.tolteca.	2012-03-18	405	2012-03-18
AF136676	95109	Drosophila americana americana	Drosophila americana americana D.am-.1Y alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AH011594	73155	Drosophila biauraria	Drosophila biauraria strain 14028-0501.0 alcohol dehydrogenase (Adh) gene, partial cds.	2016-04-08	565	2016-04-08
AY541093	198719	Drosophila innubila	Drosophila innubila strain CH2_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	2005-08-24	555	2004-12-13
AY874369	7241	Drosophila subobscura	Drosophila subobscura strain line 21 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	2005-05-31	1406	2005-05-31
AY340288	40366	Drosophila americana	Drosophila americana pop-variant NN00.03X alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-16	881	2003-08-13
AY340299	40366	Drosophila americana	Drosophila americana pop-variant DN01.05Y alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-16	881	2003-08-13
AY340303	40366	Drosophila americana	Drosophila americana pop-variant NN97.09Y alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-16	881	2003-08-13
AY340307	40366	Drosophila americana	Drosophila americana pop-variant NN00.09Y alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-16	881	2003-08-13
AY541097	198719	Drosophila innubila	Drosophila innubila strain CH3_M70 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	2005-08-24	555	2004-12-13
LC057203	51159	Drosophila lutescens	Drosophila lutescens Adh gene for alcohol dehydrogenase, partial cds, strain: AK96-3.	2019-06-04	837	2019-06-04
AB703317	7216	Drosophila ambigua	Drosophila ambigua Adh gene for alcohol dehydrogenase, partial cds, clone: D.ambigua.	2012-03-18	405	2012-03-18
AB703321	77129	Drosophila helvetica	Drosophila helvetica Adh gene for alcohol dehydrogenase, partial cds, clone: D.helvetica.	2012-03-18	405	2012-03-18
AB932669	38840	Drosophila putrida	Drosophila putrida Adh gene for alcohol dehydrogenase, partial cds, strain: E-22401.	2014-10-26	856	2014-10-26
AF476924	67532	Drosophila quadraria	Drosophila quadraria strain 14028-0651.0 alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	405	2002-04-26
AY340296	40366	Drosophila americana	Drosophila americana pop-variant DN01.01Y alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-16	881	2003-08-13
AY364494	7230	Drosophila mojavensis	Drosophila mojavensis strain MJS 36 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	2005-04-16	880	2004-01-30
AY364497	7230	Drosophila mojavensis	Drosophila mojavensis strain MJS 84 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	2005-04-16	880	2004-01-30
AY364515	7230	Drosophila mojavensis	Drosophila mojavensis strain MJS 93 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	2005-04-16	879	2004-01-30
AY874370	7241	Drosophila subobscura	Drosophila subobscura strain line 22 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	2005-05-31	1406	2005-05-31
EF560580	306031	Drosophila pavani	Drosophila pavani pop-variant La Florida alcohol dehydrogenase (adh) gene, partial cds.	2008-07-12	626	2008-05-01
AF136651	95109	Drosophila americana americana	Drosophila americana americana D.am-.1X alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AY340283	40366	Drosophila americana	Drosophila americana pop-variant DN01.05X alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-16	881	2003-08-13
AY364510	7230	Drosophila mojavensis	Drosophila mojavensis strain MJS 14 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	2005-04-16	879	2004-01-30
AY364519	7230	Drosophila mojavensis	Drosophila mojavensis strain MJS 87 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	2005-04-16	879	2004-01-30
AY541089	198719	Drosophila innubila	Drosophila innubila strain CH1_M2 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	2005-08-24	555	2004-12-13
AY874373	7241	Drosophila subobscura	Drosophila subobscura strain line 33 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	2005-05-31	1419	2005-05-31
AF136654	95109	Drosophila americana americana	Drosophila americana americana D.am-.3X alcohol dehydrogenase (Adh) gene, partial cds.	2005-04-15	884	1999-06-03
AB932650	133981	Drosophila cardini	Drosophila cardini Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701.	2014-10-26	833	2014-10-26
AY874365	7241	Drosophila subobscura	Drosophila subobscura strain line 7 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	2005-05-31	1406	2005-05-31
AY044128	98362	Drosophila ruberrima	Drosophila ruberrima alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	2006-11-14	720	2002-08-06
AY044129	157057	Drosophila neohypocausta	Drosophila neohypocausta alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	2006-11-14	747	2002-08-06
AY154841	7263	Drosophila arizonae	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	2005-04-16	879	2003-03-03
AY154858	7263	Drosophila arizonae	Drosophila arizonae strain ARTU 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	2005-04-16	880	2003-03-03
